iter	MAE	RMSE
227	8156.168057	14013.46472
228	8144.179524	13998.9603
229	8125.121987	13973.77676
230	8102.870836	13919.68583
231	8091.336555	13906.15048
232	8062.680704	13872.71737
233	8051.584085	13860.06523
234	7969.065307	13697.50408
235	7941.707604	13667.89871
236	7916.228103	13640.20505
237	7906.147396	13629.36057
238	7899.729883	13620.88612
239	7889.882547	13610.63805
240	7865.091172	13585.23412
241	7858.740452	13577.42776
242	7852.431649	13569.82225
243	7774.915726	13420.8558
244	7750.207591	13398.18706
245	7741.365715	13389.78321
246	7735.453865	13383.23934
247	7680.013126	13241.86722
248	7645.069024	13105.84202
249	7644.738808	13074.87292
250	7609.957022	12944.92737
251	7599.72461	12927.25477
252	7566.606536	12803.32317
253	7566.322467	12775.89456
254	7556.162975	12768.39066
255	7523.826136	12650.30849
256	7513.255276	12635.4575
257	7481.845049	12522.72365
258	7471.877573	12509.89101
259	7462.712787	12505.13836
260	7431.80043	12397.75799
261	7423.20054	12393.50441
262	7414.819907	12389.40425
263	7404.405631	12377.5872
264	7374.566397	12275.64509
265	7366.733251	12272.03498
266	7359.099186	12268.55455
267	7349.227496	12258.56109
268	7341.819498	12255.25171
269	7331.709122	12245.23848
270	7322.22266	12236.22494
271	7312.929581	12227.64342
272	7303.384237	12218.94921
273	7294.00631	12210.66564
274	7266.054903	12116.81765
275	7238.741148	12026.6388
276	7229.54635	12020.12527
277	7223.074799	12017.63205
278	7216.773119	12015.23489
279	7210.63565	12012.9288
280	7201.695751	12006.80406
281	7175.514711	11921.60067
282	7149.930426	11839.7681
283	7144.547854	11837.9678
284	7135.17914	11832.23531
285	7129.957225	11830.51922
286	7105.186534	11752.5699
287	7096.068198	11747.92096
288	7087.157936	11743.48434
289	7082.415083	11742.03663
290	7073.723584	11737.81856
291	7069.14135	11736.44308
292	7060.662601	11732.43254
293	7037.026341	11658.80035
294	7028.337784	11654.5452
295	7005.316217	11584.02939
296	6996.797949	11580.69415
297	6988.480146	11577.50849
298	6980.16996	11573.84545
299	6978.397336	11572.96265
